#ID	genome_anti_hits	prophage_hits	pBGC_hits	pBGC_types	coordinates	genome_length	name
GCF_000005845.2_ASM584v2_genomic	2		0	-	-	0	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
GCF_000007365.1_ASM736v1_genomic	0	0	0	-	-	0	NC_004061.1 Buchnera aphidicola str. Sg (Schizaphis graminum), complete genome
GCF_000006625.1_ASM662v1_genomic	0	0	0	-	-	0	NC_002162.1 Ureaplasma parvum serovar 3 str. ATCC 700970, complete genome
GCF_000007485.1_ASM748v1_genomic	0	0	0	-	-	0	NC_004572.3 Tropheryma whipplei str. Twist, complete genome
GCF_000008045.1_ASM804v1_genomic	0	0	0	-	-	0	NC_006142.1 Rickettsia typhi str. Wilmington, complete genome
GCF_000007205.1_ASM720v1_genomic	0	0	0	-	-	0	NC_005043.1 Chlamydophila pneumoniae TW-183, complete genome
GCF_000007025.1_ASM702v1_genomic	0	0	0	-	-	0	NC_003103.1 Rickettsia conorii str. Malish 7, complete genome
GCF_000008025.1_ASM802v1_genomic	0	3	0	-	-	0	NC_002978.6 Wolbachia endosymbiont of Drosophila melanogaster, complete genome
GCF_000007945.1_ASM794v1_genomic	0	3	0	-	-	0	NC_002940.2 [Haemophilus] ducreyi 35000HP, complete sequence
GCF_000007905.1_ASM790v1_genomic	0	0	0	-	-	0	NC_004917.1 Helicobacter hepaticus ATCC 51449, complete genome
GCF_000007925.1_ASM792v1_genomic	4	0	0	-	-	0	NC_005042.1 Prochlorococcus marinus subsp. marinus str. CCMP1375 complete genome
GCF_000007105.1_ASM710v1_genomic	2	0	0	-	-	0	NC_006526.2 Zymomonas mobilis subsp. mobilis ZM4, complete genome
GCF_000007465.2_ASM746v2_genomic	5	0	0	-	-	0	NC_004350.2 Streptococcus mutans UA159 chromosome, complete genome
GCF_000007045.1_ASM704v1_genomic	5	0	0	-	-	0	NC_003098.1 Streptococcus pneumoniae R6 chromosome, complete genome
GCF_000007325.1_ASM732v1_genomic	1	0	0	-	-	0	NC_003454.1 Fusobacterium nucleatum subsp. nucleatum ATCC 25586 chromosome, complete genome
GCF_000006985.1_ASM698v1_genomic	2	0	0	-	-	0	NC_002932.3 Chlorobium tepidum TLS chromosome, complete genome
GCF_000006825.1_ASM682v1_genomic	1	0	0	-	-	0	NC_002663.1 Pasteurella multocida subsp. multocida str. Pm70, complete genome
GCF_000007745.1_ASM774v1_genomic	0	1	0	-	-	0	NC_006300.1 Mannheimia succiniciproducens MBEL55E, complete genome
GCF_000007725.1_ASM772v1_genomic	0	0	0	-	-	0	NC_004545.1 Buchnera aphidicola str. Bp (Baizongia pistaciae), complete genome
GCF_000006785.2_ASM678v2_genomic	4	3	0	-	-	0	NC_002737.2 Streptococcus pyogenes M1 GAS, complete genome
GCF_000006885.1_ASM688v1_genomic	5	0	0	-	-	0	NC_003028.3 Streptococcus pneumoniae TIGR4, complete genome
GCF_000007585.1_ASM758v1_genomic	1	0	0	-	-	0	NC_002950.2 Porphyromonas gingivalis W83, complete genome
GCF_000006845.1_ASM684v1_genomic	4	2	0	-	-	0	NC_002946.2 Neisseria gonorrhoeae FA 1090 chromosome, complete genome
GCF_000007285.1_ASM728v1_genomic	3	5	0	-	-	0	NC_003485.1 Streptococcus pyogenes MGAS8232, complete genome
GCF_000007085.1_ASM708v1_genomic	0	0	0	-	-	0	NC_003869.1 Thermoanaerobacter tengcongensis MB4, complete genome
GCF_000006685.1_ASM668v1_genomic	0	0	0	-	-	0	NC_002620.2 Chlamydia muridarum Nigg, complete genome
GCF_000007265.1_ASM726v1_genomic	1	2	0	-	-	0	NC_004116.1 Streptococcus agalactiae 2603V/R chromosome, complete genome
GCF_000007425.1_ASM742v1_genomic	3	6	0	-	-	0	NC_004070.1 Streptococcus pyogenes MGAS315, complete genome
GCF_000007605.1_ASM760v1_genomic	0	0	0	-	-	0	NC_003361.3 Chlamydophila caviae GPIC, complete genome
GCF_000007665.1_ASM766v1_genomic	4	1	0	-	-	0	NC_006087.1 Leifsonia xyli subsp. xyli str. CTCB07, complete genome
GCF_000006865.1_ASM686v1_genomic	1	7	0	-	-	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403 chromosome, complete genome
GCF_000007765.2_ASM776v2_genomic	4	0	0	-	-	0	NC_002971.4 Coxiella burnetii RSA 493, complete genome
GCF_000007985.2_ASM798v2_genomic	3	0	0	-	-	0	NC_002939.5 Geobacter sulfurreducens PCA chromosome, complete genome
GCF_000007525.1_ASM752v1_genomic	0	0	0	-	-	0	NC_004307.2 Bifidobacterium longum NCC2705 chromosome, complete genome
GCF_000006905.1_ASM690v1_genomic	4	0	0	-	-	0	NC_002696.2 Caulobacter crescentus CB15 chromosome, complete genome
GCF_000008205.1_ASM820v1_genomic	0	0	0	-	-	0	NC_007295.1 Mycoplasma hyopneumoniae J, complete genome
GCF_000008225.1_ASM822v1_genomic	0	0	0	-	-	0	NC_007332.1 Mycoplasma hyopneumoniae 7448, complete genome
GCF_000006605.1_ASM660v1_genomic	6	0	0	-	-	0	NC_007164.1 Corynebacterium jeikeium K411 complete genome
GCF_000008245.1_ASM824v1_genomic	0	0	0	-	-	0	NC_007294.1 Mycoplasma synoviae 53, complete genome
GCF_000008065.1_ASM806v1_genomic	1	2	0	-	-	0	NC_005362.1 Lactobacillus johnsonii NCC 533, complete genome
GCF_000008305.1_ASM830v1_genomic	0	0	0	-	-	0	NC_006055.1 Mesoplasma florum L1 chromosome, complete genome
GCF_000008365.1_ASM836v1_genomic	0	0	0	-	-	0	NC_006908.1 Mycoplasma mobile 163K complete genome
GCF_000007125.1_ASM712v1_genomic	3	0	0	-	-	0	NC_003317.1 Brucella melitensis bv. 1 str. 16M chromosome I, complete sequence
GCF_000007625.1_ASM762v1_genomic	1	3	0	-	-	0	NC_004557.1 Clostridium tetani E88, complete genome
GCF_000008405.1_ASM840v1_genomic	0	0	0	-	-	0	NC_006360.1 Mycoplasma hyopneumoniae 232, complete genome
GCF_000008385.1_ASM838v1_genomic	0	0	0	-	-	0	NC_006833.1 Wolbachia endosymbiont strain TRS of Brugia malayi, complete genome
GCF_000007865.1_ASM786v1_genomic	16	0	0	-	-	0	NC_002944.2 Mycobacterium avium subsp. paratuberculosis str. k10, complete genome
GCF_000007545.1_ASM754v1_genomic	2	5	0	-	-	0	NC_004631.1 Salmonella enterica subsp. enterica serovar Typhi Ty2, complete genome
GCF_000007705.1_ASM770v1_genomic	7	3	0	-	-	0	NC_005085.1 Chromobacterium violaceum ATCC 12472, complete genome
